difficulty,c_r,c_r_multiplier,n_seeds,ARGO_accuracy_mean,ARGO_accuracy_std,ARGO_accuracy_sem,ARGO_accuracy_ci95,ARGO_quality_mean,ARGO_quality_std,ARGO_quality_sem,ARGO_quality_ci95,ARGO_retrievals_mean,ARGO_retrievals_std,ARGO_retrievals_sem,ARGO_retrievals_ci95,ARGO_cost_mean,ARGO_cost_std,ARGO_cost_sem,ARGO_cost_ci95,ARGO_reasons_mean,ARGO_reasons_std,ARGO_reasons_sem,ARGO_reasons_ci95,Always-Retrieve_accuracy_mean,Always-Retrieve_accuracy_std,Always-Retrieve_accuracy_sem,Always-Retrieve_accuracy_ci95,Always-Retrieve_quality_mean,Always-Retrieve_quality_std,Always-Retrieve_quality_sem,Always-Retrieve_quality_ci95,Always-Retrieve_retrievals_mean,Always-Retrieve_retrievals_std,Always-Retrieve_retrievals_sem,Always-Retrieve_retrievals_ci95,Always-Retrieve_cost_mean,Always-Retrieve_cost_std,Always-Retrieve_cost_sem,Always-Retrieve_cost_ci95,Always-Retrieve_reasons_mean,Always-Retrieve_reasons_std,Always-Retrieve_reasons_sem,Always-Retrieve_reasons_ci95,Always-Reason_accuracy_mean,Always-Reason_accuracy_std,Always-Reason_accuracy_sem,Always-Reason_accuracy_ci95,Always-Reason_quality_mean,Always-Reason_quality_std,Always-Reason_quality_sem,Always-Reason_quality_ci95,Always-Reason_retrievals_mean,Always-Reason_retrievals_std,Always-Reason_retrievals_sem,Always-Reason_retrievals_ci95,Always-Reason_cost_mean,Always-Reason_cost_std,Always-Reason_cost_sem,Always-Reason_cost_ci95,Always-Reason_reasons_mean,Always-Reason_reasons_std,Always-Reason_reasons_sem,Always-Reason_reasons_ci95,Random_accuracy_mean,Random_accuracy_std,Random_accuracy_sem,Random_accuracy_ci95,Random_quality_mean,Random_quality_std,Random_quality_sem,Random_quality_ci95,Random_retrievals_mean,Random_retrievals_std,Random_retrievals_sem,Random_retrievals_ci95,Random_cost_mean,Random_cost_std,Random_cost_sem,Random_cost_ci95,Random_reasons_mean,Random_reasons_std,Random_reasons_sem,Random_reasons_ci95
hard,0.3,15.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,0.6000000000000001,30.000000000000004,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,0.9000000000000001,45.00000000000001,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,1.2000000000000002,60.00000000000001,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,1.5000000000000002,75.00000000000001,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,1.8000000000000003,90.00000000000001,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,2.1,105.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,2.4000000000000004,120.00000000000001,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,2.7,135.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,3.0,150.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
